id,left,top,right,bottom,OBJECTID_1,OBJECTID,Major_FA,SubArea,Division,SubDivisio,Unit,Area_Full,Area_27,Area_km2,x,y,Latitude,Longitude
"264",1873647.37175105,7674490.6683848,1893647.37175105,7694490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7674490.668,56.579,16.831
"281",1893647.37175105,8094490.6683848,1913647.37175105,8114490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,8094490.668,58.600,17.011
"282",1893647.37175105,8074490.6683848,1913647.37175105,8094490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,8074490.668,58.507,17.011
"283",1893647.37175105,8054490.6683848,1913647.37175105,8074490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,8054490.668,58.413,17.011
"284",1893647.37175105,8034490.6683848,1913647.37175105,8054490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,8034490.668,58.318,17.011
"286",1893647.37175105,7994490.6683848,1913647.37175105,8014490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7994490.668,58.129,17.011
"287",1893647.37175105,7974490.6683848,1913647.37175105,7994490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7974490.668,58.034,17.011
"288",1893647.37175105,7954490.6683848,1913647.37175105,7974490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7954490.668,57.939,17.011
"289",1893647.37175105,7934490.6683848,1913647.37175105,7954490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7934490.668,57.843,17.011
"290",1893647.37175105,7914490.6683848,1913647.37175105,7934490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7914490.668,57.748,17.011
"291",1893647.37175105,7894490.6683848,1913647.37175105,7914490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7894490.668,57.652,17.011
"292",1893647.37175105,7874490.6683848,1913647.37175105,7894490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7874490.668,57.555,17.011
"293",1893647.37175105,7854490.6683848,1913647.37175105,7874490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7854490.668,57.459,17.011
"294",1893647.37175105,7834490.6683848,1913647.37175105,7854490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7834490.668,57.362,17.011
"297",1893647.37175105,7774490.6683848,1913647.37175105,7794490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7774490.668,57.070,17.011
"298",1893647.37175105,7754490.6683848,1913647.37175105,7774490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7754490.668,56.972,17.011
"299",1893647.37175105,7734490.6683848,1913647.37175105,7754490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7734490.668,56.874,17.011
"300",1893647.37175105,7714490.6683848,1913647.37175105,7734490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7714490.668,56.776,17.011
"301",1893647.37175105,7694490.6683848,1913647.37175105,7714490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7694490.668,56.678,17.011
"302",1893647.37175105,7674490.6683848,1913647.37175105,7694490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,7674490.668,56.579,17.011
"318",1913647.37175105,8114490.6683848,1933647.37175105,8134490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,8114490.668,58.694,17.191
"319",1913647.37175105,8094490.6683848,1933647.37175105,8114490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,8094490.668,58.600,17.191
"320",1913647.37175105,8074490.6683848,1933647.37175105,8094490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,8074490.668,58.507,17.191
"321",1913647.37175105,8054490.6683848,1933647.37175105,8074490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,8054490.668,58.413,17.191
"322",1913647.37175105,8034490.6683848,1933647.37175105,8054490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,8034490.668,58.318,17.191
"323",1913647.37175105,8014490.6683848,1933647.37175105,8034490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,8014490.668,58.224,17.191
"324",1913647.37175105,7994490.6683848,1933647.37175105,8014490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7994490.668,58.129,17.191
"325",1913647.37175105,7974490.6683848,1933647.37175105,7994490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7974490.668,58.034,17.191
"326",1913647.37175105,7954490.6683848,1933647.37175105,7974490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7954490.668,57.939,17.191
"327",1913647.37175105,7934490.6683848,1933647.37175105,7954490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7934490.668,57.843,17.191
"328",1913647.37175105,7914490.6683848,1933647.37175105,7934490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7914490.668,57.748,17.191
"329",1913647.37175105,7894490.6683848,1933647.37175105,7914490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7894490.668,57.652,17.191
"330",1913647.37175105,7874490.6683848,1933647.37175105,7894490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7874490.668,57.555,17.191
"331",1913647.37175105,7854490.6683848,1933647.37175105,7874490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7854490.668,57.459,17.191
"332",1913647.37175105,7834490.6683848,1933647.37175105,7854490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7834490.668,57.362,17.191
"333",1913647.37175105,7814490.6683848,1933647.37175105,7834490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7814490.668,57.265,17.191
"334",1913647.37175105,7794490.6683848,1933647.37175105,7814490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7794490.668,57.168,17.191
"335",1913647.37175105,7774490.6683848,1933647.37175105,7794490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7774490.668,57.070,17.191
"336",1913647.37175105,7754490.6683848,1933647.37175105,7774490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7754490.668,56.972,17.191
"337",1913647.37175105,7734490.6683848,1933647.37175105,7754490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7734490.668,56.874,17.191
"338",1913647.37175105,7714490.6683848,1933647.37175105,7734490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1913647.372,7714490.668,56.776,17.191
