id,left,top,right,bottom,Area,OBJECTID,Ecoregion,Shape_Leng,Shape_Le_1,Shape_Area,fid,cat,x,y
"286",15.06909,56.06423,15.16909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,56.014
"287",15.06909,55.96423,15.16909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.914
"288",15.06909,55.86423,15.16909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.814
"289",15.06909,55.76423,15.16909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.714
"290",15.06909,55.66423,15.16909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.614
"291",15.06909,55.56423,15.16909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.514
"292",15.06909,55.46423,15.16909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.414
"293",15.06909,55.36423,15.16909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.314
"327",15.16909,56.16423,15.26909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,56.114
"328",15.16909,56.06423,15.26909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,56.014
"329",15.16909,55.96423,15.26909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,55.914
"330",15.16909,55.86423,15.26909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,55.814
"331",15.16909,55.76423,15.26909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,55.714
"332",15.16909,55.66423,15.26909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,55.614
"333",15.16909,55.56423,15.26909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,55.514
"334",15.16909,55.46423,15.26909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,55.414
"335",15.16909,55.36423,15.26909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,55.314
"369",15.26909,56.16423,15.36909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.319,56.114
"370",15.26909,56.06423,15.36909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.319,56.014
"371",15.26909,55.96423,15.36909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.319,55.914
"372",15.26909,55.86423,15.36909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.319,55.814
"373",15.26909,55.76423,15.36909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.319,55.714
"374",15.26909,55.66423,15.36909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.319,55.614
"375",15.26909,55.56423,15.36909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.319,55.514
"376",15.26909,55.46423,15.36909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.319,55.414
"377",15.26909,55.36423,15.36909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.319,55.314
"411",15.36909,56.16423,15.46909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.419,56.114
"412",15.36909,56.06423,15.46909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.419,56.014
"413",15.36909,55.96423,15.46909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.419,55.914
"414",15.36909,55.86423,15.46909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.419,55.814
"415",15.36909,55.76423,15.46909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.419,55.714
"416",15.36909,55.66423,15.46909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.419,55.614
"417",15.36909,55.56423,15.46909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.419,55.514
"418",15.36909,55.46423,15.46909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.419,55.414
"419",15.36909,55.36423,15.46909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.419,55.314
"454",15.46909,56.06423,15.56909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.519,56.014
